Date,Area,Building_name,Loop,Type,Usage
2016/11/23,北區,體育館,主迴路,行政,1287.81
2017/01/16,南區,管理二館,主迴路,教學,1288
2017/03/10,北區,環保大樓,主迴路,教學,1288.39
2016/10/14,北區,工程二館,主迴路,教學,1288.44
2017/08/03,北區,工程二館,主迴路,教學,1288.75
2017/04/22,北區,學生十舍,主迴路,宿舍,1289.13
2016/10/30,南區,管理二館,主迴路,教學,1289.5
2016/11/04,北區,學生九舍,主迴路,宿舍,1289.63
2017/05/17,南區,研究生二舍,主迴路,宿舍,1290
2016/12/10,南區,綜合一館,主迴路,教學,1290
2017/08/18,北區,第二餐廳,1F動力1,外租,1290.13
2017/04/13,北區,學生十舍,主迴路,宿舍,1290.25
2016/09/25,北區,第二餐廳,1F動力1,外租,1290.38
2017/05/31,北區,管理一館,主迴路,教學,1290.88
2016/10/13,南區,研究生二舍,主迴路,宿舍,1291
2016/09/18,南區,綜合一館,主迴路,教學,1291
2017/05/27,北區,學生九舍,主迴路,宿舍,1291.56
2017/08/24,北區,第二餐廳,1F動力1,外租,1291.63
2017/04/07,北區,體育館,主迴路,行政,1291.75
2017/04/25,南區,土木結構,主迴路,教學,1292
2016/10/02,南區,服務大樓,主迴路,行政,1292.75
2016/12/20,南區,服務大樓,主迴路,行政,1293
2016/10/11,南區,服務大樓,主迴路,行政,1293
2017/05/23,北區,管理一館,主迴路,教學,1293.5
2016/09/24,南區,服務大樓,主迴路,行政,1293.5
2016/12/21,北區,學生十舍,主迴路,宿舍,1293.66
2016/12/21,南區,服務大樓,主迴路,行政,1293.75
2016/12/16,南區,管理二館,主迴路,教學,1294
2016/10/08,南區,服務大樓,主迴路,行政,1294
2017/05/25,北區,體育館,主迴路,行政,1294.13
2016/11/21,南區,服務大樓,主迴路,行政,1294.5
2016/11/10,南區,研究生二舍,主迴路,宿舍,1294.5
2016/12/26,北區,學生十舍,主迴路,宿舍,1294.66
2017/04/03,北區,第二餐廳,主迴路,外租,1295
2017/01/22,南區,綜合一館,主迴路,教學,1295
2017/02/22,北區,環保大樓,主迴路,教學,1295.26
2016/11/30,南區,服務大樓,主迴路,行政,1295.5
2017/01/05,南區,服務大樓,主迴路,行政,1296
2016/12/16,南區,研究生二舍,主迴路,宿舍,1296
2017/08/15,北區,第二餐廳,1F動力1,外租,1296
2017/05/11,北區,竹軒宿舍,主迴路,宿舍,1296.34
2017/06/08,南區,服務大樓,主迴路,行政,1296.5
2016/11/08,南區,服務大樓,主迴路,行政,1296.5
2016/10/23,北區,第二餐廳,1F動力1,外租,1296.75
2017/08/28,南區,服務大樓,主迴路,行政,1297
2017/03/11,南區,研究生二舍,主迴路,宿舍,1297
2017/03/09,南區,研究生二舍,主迴路,宿舍,1297
2016/12/18,南區,研究生二舍,主迴路,宿舍,1297
2016/10/23,南區,服務大樓,主迴路,行政,1297
2016/12/28,南區,服務大樓,主迴路,行政,1297.75
2017/08/21,南區,服務大樓,主迴路,行政,1298
2016/09/23,北區,第二餐廳,1F動力1,外租,1298
2017/07/07,北區,工程二館,主迴路,教學,1298.13
2017/05/02,北區,工程二館,主迴路,教學,1299
2017/03/25,南區,綜合一館,主迴路,教學,1299
2017/02/26,北區,第二餐廳,主迴路,外租,1299.5
2016/11/22,南區,研究生二舍,主迴路,宿舍,1299.5
2017/01/06,南區,服務大樓,主迴路,行政,1299.75
2016/12/01,北區,體育館,主迴路,行政,1300.13
2016/12/29,南區,服務大樓,主迴路,行政,1300.25
2017/07/19,北區,體育館,主迴路,行政,1300.56
2017/08/02,南區,服務大樓,主迴路,行政,1301
2017/01/18,南區,管理二館,主迴路,教學,1301
2017/01/11,北區,科學一館,主迴路,教學,1301.06
2017/08/30,北區,中正堂,主迴路,行政,1301.31
2017/04/07,北區,電資大樓,空調,行政,1302
2017/03/14,南區,研究生二舍,主迴路,宿舍,1302
2017/01/05,北區,學生十舍,主迴路,宿舍,1302.09
2017/08/14,北區,第二餐廳,1F動力1,外租,1302.5
2017/04/22,南區,綜合一館,主迴路,教學,1303
2017/06/03,北區,學生十一舍_研一舍,主迴路,宿舍,1303.25
2017/08/28,北區,第二餐廳,1F動力1,外租,1303.25
2017/01/23,北區,環保大樓,主迴路,教學,1303.34
2017/03/03,北區,環保大樓,主迴路,教學,1303.59
2017/07/16,北區,工程二館,主迴路,教學,1303.88
2017/01/19,南區,管理二館,主迴路,教學,1304
2017/08/02,北區,第二餐廳,1F動力1,外租,1304.13
2017/06/26,北區,人社一館,主迴路,教學,1304.56
2016/12/30,北區,中正堂,主迴路,行政,1304.81
2017/01/21,南區,交映樓,主迴路,教學,1305
2017/04/27,南區,研究生二舍,主迴路,宿舍,1305.5
2017/01/15,南區,綜合一館,主迴路,教學,1305.5
2017/05/04,北區,工程二館,主迴路,教學,1305.75
