時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/12,南區                  ,綜合一館                ,棒球場照明               ,行政                  ,1133.91
2017/01,南區                  ,綜合一館                ,棒球場照明               ,行政                  ,22.41
2017/02,南區                  ,綜合一館                ,棒球場照明               ,行政                  ,0.00
2017/03,南區                  ,綜合一館                ,棒球場照明               ,行政                  ,72899.93
2017/04,南區                  ,綜合一館                ,棒球場照明               ,行政                  ,623.77
2017/05,南區                  ,綜合一館                ,棒球場照明               ,行政                  ,2426.68
2017/06,南區                  ,綜合一館                ,棒球場照明               ,行政                  ,33.77
2017/07,南區                  ,綜合一館                ,棒球場照明               ,行政                  ,34.94
2017/08,南區                  ,綜合一館                ,棒球場照明               ,行政                  ,88.37
2016/09,南區                  ,綜合一館                ,餐亭                  ,外租                  ,5079.56
2016/10,南區                  ,綜合一館                ,餐亭                  ,外租                  ,322380.80
2016/11,南區                  ,綜合一館                ,餐亭                  ,外租                  ,5625.38
2016/12,南區                  ,綜合一館                ,餐亭                  ,外租                  ,4897.09
2017/01,南區                  ,綜合一館                ,餐亭                  ,外租                  ,337649.90
2017/02,南區                  ,綜合一館                ,餐亭                  ,外租                  ,3193.47
2017/03,南區                  ,綜合一館                ,餐亭                  ,外租                  ,4838.06
2017/04,南區                  ,綜合一館                ,餐亭                  ,外租                  ,4570.44
2017/05,南區                  ,綜合一館                ,餐亭                  ,外租                  ,358156.10
2017/06,南區                  ,綜合一館                ,餐亭                  ,外租                  ,5160.56
2017/07,南區                  ,綜合一館                ,餐亭                  ,外租                  ,4292.22
2017/08,南區                  ,綜合一館                ,餐亭                  ,外租                  ,4195.84
2016/09,南區                  ,綜合一館                ,管科ML燈力              ,教學                  ,1018.64
2016/10,南區                  ,綜合一館                ,管科ML燈力              ,教學                  ,90496.92
2016/11,南區                  ,綜合一館                ,管科ML燈力              ,教學                  ,1214.09
2016/12,南區                  ,綜合一館                ,管科ML燈力              ,教學                  ,1040.53
2017/01,南區                  ,綜合一館                ,管科ML燈力              ,教學                  ,20935790.00
2017/02,南區                  ,綜合一館                ,管科ML燈力              ,教學                  ,1082.65
2017/03,南區                  ,綜合一館                ,管科ML燈力              ,教學                  ,1437.92
2017/04,南區                  ,綜合一館                ,管科ML燈力              ,教學                  ,1262.28
2017/05,南區                  ,綜合一館                ,管科ML燈力              ,教學                  ,99831.20
2017/06,南區                  ,綜合一館                ,管科ML燈力              ,教學                  ,1289.32
2017/07,南區                  ,綜合一館                ,管科ML燈力              ,教學                  ,1159.81
2017/08,南區                  ,綜合一館                ,管科ML燈力              ,教學                  ,947.27
2016/09,南區                  ,綜合一館                ,管科插座                ,教學                  ,794.59
2016/10,南區                  ,綜合一館                ,管科插座                ,教學                  ,64002.32
2016/11,南區                  ,綜合一館                ,管科插座                ,教學                  ,823.83
2016/12,南區                  ,綜合一館                ,管科插座                ,教學                  ,839.26
2017/01,南區                  ,綜合一館                ,管科插座                ,教學                  ,13347580.00
2017/02,南區                  ,綜合一館                ,管科插座                ,教學                  ,712.50
2017/03,南區                  ,綜合一館                ,管科插座                ,教學                  ,1086.73
2017/04,南區                  ,綜合一館                ,管科插座                ,教學                  ,890.95
2017/05,南區                  ,綜合一館                ,管科插座                ,教學                  ,70508.95
2017/06,南區                  ,綜合一館                ,管科插座                ,教學                  ,774.73
2017/07,南區                  ,綜合一館                ,管科插座                ,教學                  ,642.24
2017/08,南區                  ,綜合一館                ,管科插座                ,教學                  ,694.00
2016/09,南區                  ,綜合一館                ,管科MP動力              ,教學                  ,2611.53
2016/10,南區                  ,綜合一館                ,管科MP動力              ,教學                  ,140304.70
2016/11,南區                  ,綜合一館                ,管科MP動力              ,教學                  ,1299.03
2016/12,南區                  ,綜合一館                ,管科MP動力              ,教學                  ,695.13
2017/01,南區                  ,綜合一館                ,管科MP動力              ,教學                  ,142308.60
2017/02,南區                  ,綜合一館                ,管科MP動力              ,教學                  ,368.75
2017/03,南區                  ,綜合一館                ,管科MP動力              ,教學                  ,564.13
2017/04,南區                  ,綜合一館                ,管科MP動力              ,教學                  ,1278.19
2017/05,南區                  ,綜合一館                ,管科MP動力              ,教學                  ,149413.20
2017/06,南區                  ,綜合一館                ,管科MP動力              ,教學                  ,3266.73
2017/07,南區                  ,綜合一館                ,管科MP動力              ,教學                  ,3176.30
