weekday,時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
1,2017/1/23,北區                  ,光電大樓                ,主迴路                 ,教學                  ,7754.31
2,2017/1/24,北區                  ,光電大樓                ,主迴路                 ,教學                  ,7722.75
3,2017/1/25,北區                  ,光電大樓                ,主迴路                 ,教學                  ,7546.13
4,2017/1/26,北區                  ,光電大樓                ,主迴路                 ,教學                  ,6596.06
5,2017/1/27,北區                  ,光電大樓                ,主迴路                 ,教學                  ,5915.5
6,2017/1/28,北區                  ,光電大樓                ,主迴路                 ,教學                  ,6017.25
7,2017/1/29,北區                  ,光電大樓                ,主迴路                 ,教學                  ,6112.31
1,2017/1/30,北區                  ,光電大樓                ,主迴路                 ,教學                  ,6059.88
2,2017/1/31,北區                  ,光電大樓                ,主迴路                 ,教學                  ,6345.38
3,2017/2/1,北區                  ,光電大樓                ,主迴路                 ,教學                  ,6382.69
4,2017/2/2,北區                  ,光電大樓                ,主迴路                 ,教學                  ,7091.69
5,2017/2/3,北區                  ,光電大樓                ,主迴路                 ,教學                  ,7890.44
6,2017/2/4,北區                  ,光電大樓                ,主迴路                 ,教學                  ,7514.13
7,2017/2/5,北區                  ,光電大樓                ,主迴路                 ,教學                  ,7440.38
1,2017/2/6,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8174.44
2,2017/2/7,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8215.75
3,2017/2/8,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8201.81
4,2017/2/9,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8016.44
5,2017/2/10,北區                  ,光電大樓                ,主迴路                 ,教學                  ,7503.75
6,2017/2/11,北區                  ,光電大樓                ,主迴路                 ,教學                  ,6574.94
7,2017/2/12,北區                  ,光電大樓                ,主迴路                 ,教學                  ,6664.69
1,2017/2/13,北區                  ,光電大樓                ,主迴路                 ,教學                  ,7756
2,2017/2/14,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8176.56
3,2017/2/15,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8420.56
4,2017/2/16,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9054.81
5,2017/2/17,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9186.88
6,2017/2/18,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8634.44
7,2017/2/19,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8303.69
1,2017/2/20,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9306.38
2,2017/2/21,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9576.56
3,2017/2/22,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9293
4,2017/2/23,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8890.31
5,2017/2/24,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8330.25
6,2017/2/25,北區                  ,光電大樓                ,主迴路                 ,教學                  ,7613.06
7,2017/2/26,北區                  ,光電大樓                ,主迴路                 ,教學                  ,7302.63
1,2017/2/27,北區                  ,光電大樓                ,主迴路                 ,教學                  ,7683.44
2,2017/2/28,北區                  ,光電大樓                ,主迴路                 ,教學                  ,7828.81
3,2017/3/1,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8585.13
4,2017/3/2,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8589.44
5,2017/3/3,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8471.69
6,2017/3/4,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8114.75
7,2017/3/5,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8285.5
1,2017/3/6,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8833.38
2,2017/3/7,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8705.56
3,2017/3/8,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8927.63
4,2017/3/9,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9593.88
5,2017/3/10,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9727.88
6,2017/3/11,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8759.81
7,2017/3/12,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8918.13
1,2017/3/13,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9866.31
2,2017/3/14,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9354.81
3,2017/3/15,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9191.06
4,2017/3/16,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9353.25
5,2017/3/17,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9422.94
6,2017/3/18,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8753.25
7,2017/3/19,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9001.5
1,2017/3/20,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10036.88
2,2017/3/21,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9748.75
3,2017/3/22,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9984.38
4,2017/3/23,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9806.5
