時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2017/06,North,SB,主迴路                 ,Teach                  ,175408
2017/06,North,DinningHall2                ,主迴路                 ,Rented                  ,102916.3
2017/06,North,EECS,空調                  ,Admin                  ,97228.5
2017/06,North,ActivityCenter,主迴路                 ,Admin                  ,85997.53
2017/06,North,DinningHall2                ,2F水果部L燈力,Rented                  ,83196.31
2017/06,North,Swim,主迴路                 ,Admin                  ,70075.13
2017/06,North,EnvProtect_bd,主迴路                 ,Teach                  ,70035.06
2017/06,North,StudentDormitory9,主迴路                 ,Dorm                  ,67304.63
2017/06,North,SA,主迴路                 ,Teach                  ,67220.88
2017/06,North,SD10,主迴路                 ,Dorm                  ,54789
2017/06,North,CCAuditorium,主迴路                 ,Admin                  ,52744.5
2017/06,North,GraduateDorm1,主迴路                 ,Dorm                  ,47019.5
2017/06,North,Engineer2,主迴路                 ,Teach                  ,43642.63
2017/06,North,Gym,主迴路                 ,Admin                  ,36290.88
2017/06,North,HA1,主迴路                 ,Teach                  ,35541.84
2017/06,North,Manegement1,主迴路                 ,Teach                  ,31214.06
2017/06,North,DinningHall2                ,1F動力1,Rented                  ,30670.38
2017/06,North,Chu-HsuanFemale,主迴路                 ,Dorm                  ,28644.16
2017/06,North,HABuilding2                ,主迴路                 ,Teach                  ,26609.13
2017/06,North,ActivityCenter,第一餐聽                ,Rented                  ,23969.38
2017/06,North,DinningHall2                ,1F便利超商動力,Rented                  ,21033
2017/06,North,Engineer1,主迴路                 ,Teach                  ,19396.13
2017/06,North,Motocycle,主迴路                 ,Admin                  ,17795.06
2017/06,North,GraduateStudentDormitory1,主迴路                 ,Dorm                  ,16116.63
2017/06,North,Admin_bd,主迴路                 ,Admin                  ,14358.13
2017/06,North,Info(North),主迴路                 ,Admin                  ,13567.05
2017/06,North,SD11,主迴路                 ,Dorm                  ,12413.13
2017/06,North,DinningHall2                ,2F快餐部P動力,Rented                  ,10708.84
2017/06,North,DinningHall2                ,3F教職員餐廳P動力,Rented                  ,7105.84
2017/06,North,DinningHall2                ,3F員工餐廳P動力,Rented                  ,6096.52
2017/06,North,Info(North),館旁餐亭                ,Rented                  ,5988.09
2017/06,North,ActivityCenter,華通空調                ,Rented                  ,4412.64
2017/06,North,DinningHall2                ,1F燈力,Rented                  ,4254.83
2017/06,North,DinningHall2                ,2F素食部L燈力,Rented                  ,3786.73
2017/06,North,EECS,網球場動力               ,Admin                  ,2581.38
2017/06,North,CCAuditorium,1F郵局P動力,Rented                  ,1993.57
2017/06,North,Gym,司令台                 ,Admin                  ,1985.42
2017/06,North,ActivityCenter,思源                  ,Admin                  ,1979.34
