weekday;date;area;bd_name;loop;types;Usage
7;2017/04/02;南區                  ;工程四館                ;主迴路                 ;教學                  ;6463
1;2017/04/03;南區                  ;工程四館                ;主迴路                 ;教學                  ;6882
2;2017/04/04;南區                  ;工程四館                ;主迴路                 ;教學                  ;7287
3;2017/04/05;南區                  ;工程四館                ;主迴路                 ;教學                  ;8222
4;2017/04/06;南區                  ;工程四館                ;主迴路                 ;教學                  ;9876
5;2017/04/07;南區                  ;工程四館                ;主迴路                 ;教學                  ;9778
6;2017/04/08;南區                  ;工程四館                ;主迴路                 ;教學                  ;9197
7;2017/04/09;南區                  ;工程四館                ;主迴路                 ;教學                  ;9266
1;2017/04/10;南區                  ;工程四館                ;主迴路                 ;教學                  ;12159
2;2017/04/11;南區                  ;工程四館                ;主迴路                 ;教學                  ;10708
3;2017/04/12;南區                  ;工程四館                ;主迴路                 ;教學                  ;9407
4;2017/04/13;南區                  ;工程四館                ;主迴路                 ;教學                  ;9164
5;2017/04/14;南區                  ;工程四館                ;主迴路                 ;教學                  ;9392
6;2017/04/15;南區                  ;工程四館                ;主迴路                 ;教學                  ;8430
7;2017/04/16;南區                  ;工程四館                ;主迴路                 ;教學                  ;8684
1;2017/04/17;南區                  ;工程四館                ;主迴路                 ;教學                  ;11147
2;2017/04/18;南區                  ;工程四館                ;主迴路                 ;教學                  ;11693
3;2017/04/19;南區                  ;工程四館                ;主迴路                 ;教學                  ;10979
4;2017/04/20;南區                  ;工程四館                ;主迴路                 ;教學                  ;11597
5;2017/04/21;南區                  ;工程四館                ;主迴路                 ;教學                  ;11428
6;2017/04/22;南區                  ;工程四館                ;主迴路                 ;教學                  ;7934
7;2017/04/23;南區                  ;工程四館                ;主迴路                 ;教學                  ;7952
1;2017/04/24;南區                  ;工程四館                ;主迴路                 ;教學                  ;9908
2;2017/04/25;南區                  ;工程四館                ;主迴路                 ;教學                  ;10421
3;2017/04/26;南區                  ;工程四館                ;主迴路                 ;教學                  ;10702
4;2017/04/27;南區                  ;工程四館                ;主迴路                 ;教學                  ;9146
5;2017/04/28;南區                  ;工程四館                ;主迴路                 ;教學                  ;8768
6;2017/04/29;南區                  ;工程四館                ;主迴路                 ;教學                  ;7611
7;2017/04/30;南區                  ;工程四館                ;主迴路                 ;教學                  ;7937
1;2017/05/01;南區                  ;工程四館                ;主迴路                 ;教學                  ;10002
2;2017/05/02;南區                  ;工程四館                ;主迴路                 ;教學                  ;10941
3;2017/05/03;南區                  ;工程四館                ;主迴路                 ;教學                  ;11440
