,Date,Weekday,Area,Building_name,Loop,Usage
199,2017-03-19,7,北區,中正堂,1F郵局L燈力,2.45
200,2017-03-20,1,北區,中正堂,1F郵局L燈力,2.45
201,2017-03-21,2,北區,中正堂,1F郵局L燈力,2.71
202,2017-03-22,3,北區,中正堂,1F郵局L燈力,2.43
203,2017-03-23,4,北區,中正堂,1F郵局L燈力,2.79
204,2017-03-24,5,北區,中正堂,1F郵局L燈力,3.18
205,2017-03-25,6,北區,中正堂,1F郵局L燈力,2.46
206,2017-03-26,7,北區,中正堂,1F郵局L燈力,2.46
207,2017-03-27,1,北區,中正堂,1F郵局L燈力,2.39
208,2017-03-28,2,北區,中正堂,1F郵局L燈力,2.54
209,2017-03-29,3,北區,中正堂,1F郵局L燈力,2.6
210,2017-03-30,4,北區,中正堂,1F郵局L燈力,2.72
211,2017-03-31,5,北區,中正堂,1F郵局L燈力,3.19
212,2017-04-01,6,北區,中正堂,1F郵局L燈力,2.51
213,2017-04-02,7,北區,中正堂,1F郵局L燈力,2.48
214,2017-04-03,1,北區,中正堂,1F郵局L燈力,2.48
215,2017-04-04,2,北區,中正堂,1F郵局L燈力,2.48
216,2017-04-05,3,北區,中正堂,1F郵局L燈力,3.29
217,2017-04-06,4,北區,中正堂,1F郵局L燈力,3.79
218,2017-04-07,5,北區,中正堂,1F郵局L燈力,4.14
219,2017-04-08,6,北區,中正堂,1F郵局L燈力,2.39
220,2017-04-09,7,北區,中正堂,1F郵局L燈力,2.43
221,2017-04-10,1,北區,中正堂,1F郵局L燈力,25.02
222,2017-04-11,2,北區,中正堂,1F郵局L燈力,3.52
223,2017-04-12,3,北區,中正堂,1F郵局L燈力,2.44
224,2017-04-13,4,北區,中正堂,1F郵局L燈力,2.73
225,2017-04-14,5,北區,中正堂,1F郵局L燈力,3.52
226,2017-04-15,6,北區,中正堂,1F郵局L燈力,2.43
227,2017-04-16,7,北區,中正堂,1F郵局L燈力,2.45
228,2017-04-17,1,北區,中正堂,1F郵局L燈力,22.17
229,2017-04-18,2,北區,中正堂,1F郵局L燈力,11.66
230,2017-04-19,3,北區,中正堂,1F郵局L燈力,15.64
231,2017-04-20,4,北區,中正堂,1F郵局L燈力,9.39
232,2017-04-21,5,北區,中正堂,1F郵局L燈力,23.16
233,2017-04-22,6,北區,中正堂,1F郵局L燈力,1.61
234,2017-04-23,7,北區,中正堂,1F郵局L燈力,1.65
235,2017-04-24,1,北區,中正堂,1F郵局L燈力,1.54
236,2017-04-25,2,北區,中正堂,1F郵局L燈力,1.76
237,2017-04-26,3,北區,中正堂,1F郵局L燈力,13.42
238,2017-04-27,4,北區,中正堂,1F郵局L燈力,1.59
239,2017-04-28,5,北區,中正堂,1F郵局L燈力,1.67
240,2017-04-29,6,北區,中正堂,1F郵局L燈力,1.63
241,2017-04-30,7,北區,中正堂,1F郵局L燈力,1.62
242,2017-05-01,1,北區,中正堂,1F郵局L燈力,1.62
243,2017-05-02,2,北區,中正堂,1F郵局L燈力,25.14
244,2017-05-03,3,北區,中正堂,1F郵局L燈力,19.66
245,2017-05-04,4,北區,中正堂,1F郵局L燈力,16.88
246,2017-05-05,5,北區,中正堂,1F郵局L燈力,26.55
247,2017-05-06,6,北區,中正堂,1F郵局L燈力,1.65
248,2017-05-07,7,北區,中正堂,1F郵局L燈力,1.64
249,2017-05-08,1,北區,中正堂,1F郵局L燈力,23.33
250,2017-05-09,2,北區,中正堂,1F郵局L燈力,16.11
251,2017-05-10,3,北區,中正堂,1F郵局L燈力,25.24
252,2017-05-11,4,北區,中正堂,1F郵局L燈力,38.64
253,2017-05-12,5,北區,中正堂,1F郵局L燈力,29.64
254,2017-05-13,6,北區,中正堂,1F郵局L燈力,1.61
255,2017-05-14,7,北區,中正堂,1F郵局L燈力,1.57
256,2017-05-15,1,北區,中正堂,1F郵局L燈力,34.19
257,2017-05-16,2,北區,中正堂,1F郵局L燈力,2.65
258,2017-05-17,3,北區,中正堂,1F郵局L燈力,3.08
259,2017-05-18,4,北區,中正堂,1F郵局L燈力,28.55
260,2017-05-19,5,北區,中正堂,1F郵局L燈力,17.0
261,2017-05-20,6,北區,中正堂,1F郵局L燈力,1.56
262,2017-05-21,7,北區,中正堂,1F郵局L燈力,1.62
263,2017-05-22,1,北區,中正堂,1F郵局L燈力,27.22
264,2017-05-23,2,北區,中正堂,1F郵局L燈力,35.22
265,2017-05-24,3,北區,中正堂,1F郵局L燈力,39.88
266,2017-05-25,4,北區,中正堂,1F郵局L燈力,13.04
267,2017-05-26,5,北區,中正堂,1F郵局L燈力,4.38
268,2017-05-27,6,北區,中正堂,1F郵局L燈力,1.48
269,2017-05-28,7,北區,中正堂,1F郵局L燈力,1.53
270,2017-05-29,1,北區,中正堂,1F郵局L燈力,1.52
271,2017-05-30,2,北區,中正堂,1F郵局L燈力,1.53
272,2017-05-31,3,北區,中正堂,1F郵局L燈力,41.6
273,2017-06-01,4,北區,中正堂,1F郵局L燈力,44.13
274,2017-06-02,5,北區,中正堂,1F郵局L燈力,27.51
275,2017-06-03,6,北區,中正堂,1F郵局L燈力,19.09
276,2017-06-04,7,北區,中正堂,1F郵局L燈力,1.52
277,2017-06-05,1,北區,中正堂,1F郵局L燈力,25.81
278,2017-06-06,2,北區,中正堂,1F郵局L燈力,39.73
279,2017-06-07,3,北區,中正堂,1F郵局L燈力,43.97
280,2017-06-08,4,北區,中正堂,1F郵局L燈力,43.68
281,2017-06-09,5,北區,中正堂,1F郵局L燈力,48.8
282,2017-06-10,6,北區,中正堂,1F郵局L燈力,1.55
283,2017-06-11,7,北區,中正堂,1F郵局L燈力,1.6
284,2017-06-12,1,北區,中正堂,1F郵局L燈力,58.06
285,2017-06-13,2,北區,中正堂,1F郵局L燈力,55.2
286,2017-06-14,3,北區,中正堂,1F郵局L燈力,28.37
287,2017-06-15,4,北區,中正堂,1F郵局L燈力,15.07
288,2017-06-16,5,北區,中正堂,1F郵局L燈力,11.65
289,2017-06-17,6,北區,中正堂,1F郵局L燈力,1.56
290,2017-06-18,7,北區,中正堂,1F郵局L燈力,1.57
291,2017-06-19,1,北區,中正堂,1F郵局L燈力,22.11
292,2017-06-20,2,北區,中正堂,1F郵局L燈力,53.26
293,2017-06-21,3,北區,中正堂,1F郵局L燈力,56.21
294,2017-06-22,4,北區,中正堂,1F郵局L燈力,69.98
295,2017-06-23,5,北區,中正堂,1F郵局L燈力,50.18
296,2017-06-24,6,北區,中正堂,1F郵局L燈力,1.59
297,2017-06-25,7,北區,中正堂,1F郵局L燈力,1.58
298,2017-06-26,1,北區,中正堂,1F郵局L燈力,63.1
299,2017-06-27,2,北區,中正堂,1F郵局L燈力,45.67
300,2017-06-28,3,北區,中正堂,1F郵局L燈力,60.88
301,2017-06-29,4,北區,中正堂,1F郵局L燈力,55.46
302,2017-06-30,5,北區,中正堂,1F郵局L燈力,58.21
303,2017-07-01,6,北區,中正堂,1F郵局L燈力,1.57
304,2017-07-02,7,北區,中正堂,1F郵局L燈力,1.59
305,2017-07-03,1,北區,中正堂,1F郵局L燈力,58.8
306,2017-07-04,2,北區,中正堂,1F郵局L燈力,54.81
307,2017-07-05,3,北區,中正堂,1F郵局L燈力,45.79
308,2017-07-06,4,北區,中正堂,1F郵局L燈力,46.64
309,2017-07-07,5,北區,中正堂,1F郵局L燈力,34.19
310,2017-07-08,6,北區,中正堂,1F郵局L燈力,1.55
311,2017-07-09,7,北區,中正堂,1F郵局L燈力,1.65
312,2017-07-10,1,北區,中正堂,1F郵局L燈力,43.5
313,2017-07-11,2,北區,中正堂,1F郵局L燈力,64.69
314,2017-07-12,3,北區,中正堂,1F郵局L燈力,65.54
315,2017-07-13,4,北區,中正堂,1F郵局L燈力,51.55
316,2017-07-14,5,北區,中正堂,1F郵局L燈力,51.11
317,2017-07-15,6,北區,中正堂,1F郵局L燈力,1.56
318,2017-07-16,7,北區,中正堂,1F郵局L燈力,1.67
319,2017-07-17,1,北區,中正堂,1F郵局L燈力,63.93
320,2017-07-18,2,北區,中正堂,1F郵局L燈力,57.21
321,2017-07-19,3,北區,中正堂,1F郵局L燈力,60.12
322,2017-07-20,4,北區,中正堂,1F郵局L燈力,49.61
323,2017-07-21,5,北區,中正堂,1F郵局L燈力,40.43
324,2017-07-22,6,北區,中正堂,1F郵局L燈力,1.56
325,2017-07-23,7,北區,中正堂,1F郵局L燈力,1.63
326,2017-07-24,1,北區,中正堂,1F郵局L燈力,72.54
327,2017-07-25,2,北區,中正堂,1F郵局L燈力,68.85
328,2017-07-26,3,北區,中正堂,1F郵局L燈力,58.07
329,2017-07-27,4,北區,中正堂,1F郵局L燈力,47.03
330,2017-07-28,5,北區,中正堂,1F郵局L燈力,51.41
331,2017-07-29,6,北區,中正堂,1F郵局L燈力,1.64
332,2017-07-30,7,北區,中正堂,1F郵局L燈力,1.69
333,2017-07-31,1,北區,中正堂,1F郵局L燈力,42.53
334,2017-08-01,2,北區,中正堂,1F郵局L燈力,53.96
335,2017-08-02,3,北區,中正堂,1F郵局L燈力,53.52
336,2017-08-03,4,北區,中正堂,1F郵局L燈力,50.07
337,2017-08-04,5,北區,中正堂,1F郵局L燈力,42.01
338,2017-08-05,6,北區,中正堂,1F郵局L燈力,1.59
339,2017-08-06,7,北區,中正堂,1F郵局L燈力,1.62
340,2017-08-07,1,北區,中正堂,1F郵局L燈力,63.95
341,2017-08-08,2,北區,中正堂,1F郵局L燈力,53.59
342,2017-08-09,3,北區,中正堂,1F郵局L燈力,54.8
343,2017-08-10,4,北區,中正堂,1F郵局L燈力,55.56
344,2017-08-11,5,北區,中正堂,1F郵局L燈力,47.55
345,2017-08-12,6,北區,中正堂,1F郵局L燈力,1.55
346,2017-08-13,7,北區,中正堂,1F郵局L燈力,1.56
347,2017-08-14,1,北區,中正堂,1F郵局L燈力,60.42
348,2017-08-15,2,北區,中正堂,1F郵局L燈力,68.32
349,2017-08-16,3,北區,中正堂,1F郵局L燈力,88.94
350,2017-08-17,4,北區,中正堂,1F郵局L燈力,69.88
351,2017-08-18,5,北區,中正堂,1F郵局L燈力,66.71
352,2017-08-19,6,北區,中正堂,1F郵局L燈力,1.59
353,2017-08-20,7,北區,中正堂,1F郵局L燈力,1.63
354,2017-08-21,1,北區,中正堂,1F郵局L燈力,77.0
355,2017-08-22,2,北區,中正堂,1F郵局L燈力,83.97
356,2017-08-23,3,北區,中正堂,1F郵局L燈力,47.24
357,2017-08-24,4,北區,中正堂,1F郵局L燈力,43.82
358,2017-08-25,5,北區,中正堂,1F郵局L燈力,50.63
