weekday,時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
4,2016/12/15,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8541
5,2016/12/16,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8145
6,2016/12/17,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7095
7,2016/12/18,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6793.5
1,2016/12/19,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7898.5
2,2016/12/20,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8626
3,2016/12/21,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8331
4,2016/12/22,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8098
5,2016/12/23,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7632
6,2016/12/24,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6686
7,2016/12/25,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6863
1,2016/12/26,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7845
2,2016/12/27,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7984
3,2016/12/28,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7982.5
4,2016/12/29,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7964.5
5,2016/12/30,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7433
6,2016/12/31,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6618.5
7,2017/1/1,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6326.5
1,2017/1/2,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6663
2,2017/1/3,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7355
3,2017/1/4,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8593.5
4,2017/1/5,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10430.5
5,2017/1/6,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10001
6,2017/1/7,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9477
7,2017/1/8,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9649
1,2017/1/9,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9758
2,2017/1/10,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9343.5
3,2017/1/11,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10118.5
4,2017/1/12,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10468
5,2017/1/13,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8775.5
6,2017/1/14,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7373.5
7,2017/1/15,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7101
1,2017/1/16,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7527
2,2017/1/17,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7152
3,2017/1/18,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7245
4,2017/1/19,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7574
5,2017/1/20,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7720
