Date,Area,Building_name,Loop,Type,Usage
2017/06,北區,學生九舍,主迴路 ,宿舍,67304.63
2017/02,南區,學生七舍_八舍 ,主迴路 ,宿舍,48825
2017/03,南區,學生七舍_八舍 ,主迴路 ,宿舍,66803
2016/12,南區,學生七舍_八舍 ,主迴路 ,宿舍,68478
2016/11,南區,學生七舍_八舍 ,主迴路 ,宿舍,78078.5
2017/04,南區,學生七舍_八舍 ,主迴路 ,宿舍,78414
2016/09,南區,學生七舍_八舍 ,主迴路 ,宿舍,99227
2017/05,南區,學生七舍_八舍 ,主迴路 ,宿舍,100834
2017/08,南區,學生七舍_八舍 ,主迴路 ,宿舍,111447
2016/10,南區,學生七舍_八舍 ,主迴路 ,宿舍,113712
2017/07,南區,學生七舍_八舍 ,主迴路 ,宿舍,113755
2017/01,南區,學生七舍_八舍 ,主迴路 ,宿舍,8561031
2017/06,南區,學生七舍_八舍 ,主迴路 ,宿舍,8942675
2017/06,北區,綜合球館,主迴路 ,行政,0
2017/07,北區,綜合球館,主迴路 ,行政,0
2017/08,北區,綜合球館,主迴路 ,行政,0
2017/05,北區,綜合球館,主迴路 ,行政,3296.44
2017/01,北區,綜合球館,主迴路 ,行政,5928.44
2017/02,北區,綜合球館,主迴路 ,行政,6900
2016/12,北區,綜合球館,主迴路 ,行政,7151.94
2016/11,北區,綜合球館,主迴路 ,行政,7168.88
2017/04,北區,綜合球館,主迴路 ,行政,7230.31
2017/03,北區,綜合球館,主迴路 ,行政,7286.13
2016/10,北區,綜合球館,主迴路 ,行政,9870.25
2016/09,北區,綜合球館,主迴路 ,行政,877749.7
2017/02,南區,綜合一館,空大MP動力,外租,0
2017/02,南區,綜合一館,空大ML燈力,外租,0
2017/02,南區,綜合一館,棒球場照明 ,行政,0
2017/01,南區,綜合一館,棒球場照明 ,行政,22.41
2017/06,南區,綜合一館,棒球場照明 ,行政,33.77
2017/07,南區,綜合一館,棒球場照明 ,行政,34.94
2017/08,南區,綜合一館,棒球場照明 ,行政,88.37
2016/09,南區,綜合一館,棒球場照明 ,行政,276.86
2017/02,南區,綜合一館,管科MP動力,教學,368.75
2017/03,南區,綜合一館,管科MP動力,教學,564.13
2017/04,南區,綜合一館,棒球場照明 ,行政,623.77
2017/07,南區,綜合一館,管科插座,教學,642.24
2017/08,南區,綜合一館,管科插座,教學,694
2016/12,南區,綜合一館,管科MP動力,教學,695.13
2017/02,南區,綜合一館,管科插座,教學,712.5
2016/11,南區,綜合一館,棒球場照明 ,行政,740.15
2017/06,南區,綜合一館,管科插座,教學,774.73
2016/09,南區,綜合一館,管科插座,教學,794.59
2016/11,南區,綜合一館,管科插座,教學,823.83
2016/12,南區,綜合一館,管科插座,教學,839.26
2017/04,南區,綜合一館,管科插座,教學,890.95
2017/08,南區,綜合一館,管科ML燈力,教學,947.27
2016/09,南區,綜合一館,管科ML燈力,教學,1018.64
2016/12,南區,綜合一館,管科ML燈力,教學,1040.53
2017/02,南區,綜合一館,管科ML燈力,教學,1082.65
2017/03,南區,綜合一館,管科插座,教學,1086.73
2016/12,南區,綜合一館,棒球場照明 ,行政,1133.91
2017/07,南區,綜合一館,管科ML燈力,教學,1159.81
2016/11,南區,綜合一館,管科ML燈力,教學,1214.09
2017/04,南區,綜合一館,管科ML燈力,教學,1262.28
2017/04,南區,綜合一館,管科MP動力,教學,1278.19
2017/06,南區,綜合一館,管科ML燈力,教學,1289.32
2016/11,南區,綜合一館,管科MP動力,教學,1299.03
2017/03,南區,綜合一館,管科ML燈力,教學,1437.92
2017/01,南區,綜合一館,空大MP動力,外租,2080.7
2017/05,南區,綜合一館,棒球場照明 ,行政,2426.68
2016/09,南區,綜合一館,管科MP動力,教學,2611.53
2017/08,南區,綜合一館,管科MP動力,教學,3153.98
2017/07,南區,綜合一館,管科MP動力,教學,3176.3
2017/02,南區,綜合一館,餐亭,外租,3193.47
2017/06,南區,綜合一館,管科MP動力,教學,3266.73
2016/12,南區,綜合一館,空大MP動力,外租,3793.79
2017/04,南區,綜合一館,空大MP動力,外租,3914.17
